Resort ID,Resort,City,Region,Region ID,Latitude,Longitude,Station,Station ID
1,Big Sky,Big Sky,Yellowstone Country,5,45.25,-111.416667,USC00240115,217
2,Blacktail,Lakeside,Glacier Country,1,48.013056,-114.246944,USC00240877,57
3,Bridger,Bozeman,Yellowstone Country,5,45.818,-110.897,USC00241050,70
4,Discovery,Anaconda,Southwest Montana,6,46.256389,-113.241944,USS0013C03S,86
5,Great Divide,Marysville,Southwest Montana,6,46.7497,-112.3043,USR0000MSTI,117
6,Lookout Pass,Mullan,Glacier Country,1,47.453,-115.707,USS0012B17S,209
7,Lost Trail,Sula,Southwest Montana,6,45.692,-113.952,USC00247964,257
8,Marshall,Missoula,Glacier Country,1,46.87374294,-114.0096665,USC00246685,199
9,Maverick,Polaris,Southwest Montana,6,45.435,-113.129444,USC00243366,265
10,Moonlight Basin,Big Sky,Yellowstone Country,1,45.314167,-111.450833,USC00242793,102
11,Red Lodge,Red Lodge,Yellowstone Country,1,45.191,-109.335,USS0009D16S,342
12,Showdown,Neihart,Central Montana,2,46.838611,-110.708889,USS0010C09S,252
13,Snowbowl,Missoula,Glacier Country,1,47.02,-114,USS0015C10S,161
14,Teton Pass,Choteau,Central Montana,2,47.928056,-112.815278,USS0012B12S,331
15,Turner Mountain,Libby,Glacier Country,1,48.605,-115.63,USC00248395,305
16,Whitefish,Whitefish,Glacier Country,1,48.5,-114.34,USC00246218,218