class,word,count
positive,ski,1236
positive,great,618
positive,mountain,541
positive,lift,529
positive,day,400
positive,snow,324
positive,runs,319
positive,place,292
positive,good,282
positive,terrain,268
positive,area,260
positive,line,235
positive,time,222
positive,year,221
positive,resort,215
positive,friendly,200
positive,big,190
positive,like,180
positive,lot,179
positive,fun,170
positive,ticket,168
positive,more,167
positive,family,165
positive,prices,160
positive,staff,155
positive,people,146
positive,nice,141
positive,best,138
positive,local,132
positive,bowl,131
positive,love,130
positive,food,128
positive,powder,122
positive,hill,117
positive,kids,114
positive,sky,103
positive,town,101
positive,much,94
positive,new,93
positive,amazing,92
positive,experience,91
positive,little,84
positive,want,82
positive,went,82
positive,views,81
positive,way,80
positive,slopes,78
positive,chair,77
positive,easy,75
positive,week,71
positive,park,71
positive,awesome,70
positive,took,69
positive,long,69
positive,excellent,68
positive,beautiful,68
positive,trip,67
positive,variety,67
positive,ride,66
positive,old,66
positive,plenty,65
positive,parking,62
positive,find,62
positive,better,61
positive,base,61
positive,drive,61
positive,come,60
positive,helpful,60
positive,recommend,59
positive,small,59
positive,beginner,58
positive,definitely,57
positive,super,55
positive,reasonable,54
positive,short,54
positive,lessons,52
positive,close,52
positive,wonderful,51
positive,trails,51
positive,intermediate,51
positive,pretty,51
positive,season,51
positive,enjoyed,50
positive,bar,50